timestamp,0
2025-10-30 00:00:00,87.42
2025-10-30 00:15:00,98.84
2025-10-30 00:30:00,95.79
2025-10-30 00:45:00,78.55
2025-10-30 01:00:00,86.45
2025-10-30 01:15:00,75.01
2025-10-30 01:30:00,75.87
2025-10-30 01:45:00,64.39
2025-10-30 02:00:00,76.92
2025-10-30 02:15:00,85.64
2025-10-30 02:30:00,70.38
2025-10-30 02:45:00,66.84
2025-10-30 03:00:00,78.77
2025-10-30 03:15:00,80.14
2025-10-30 03:30:00,66.41
2025-10-30 03:45:00,65.51
2025-10-30 04:00:00,73.99
2025-10-30 04:15:00,68.8
2025-10-30 04:30:00,73.81
2025-10-30 04:45:00,82.56
2025-10-30 05:00:00,66.28
2025-10-30 05:15:00,86.4
2025-10-30 05:30:00,82.94
2025-10-30 05:45:00,118.18
2025-10-30 06:00:00,149.98
2025-10-30 06:15:00,157.485
2025-10-30 06:30:00,164.99
2025-10-30 06:45:00,163.98
2025-10-30 07:00:00,116.17
2025-10-30 07:15:00,114.75
2025-10-30 07:30:00,109.91
2025-10-30 07:45:00,94.25
2025-10-30 08:00:00,112.73
2025-10-30 08:15:00,100.47
2025-10-30 08:30:00,91.62
2025-10-30 08:45:00,71.95
2025-10-30 09:00:00,94.94
2025-10-30 09:15:00,61.74
2025-10-30 09:30:00,63.88
2025-10-30 09:45:00,54.58
2025-10-30 10:00:00,76.24
2025-10-30 10:15:00,78.09
2025-10-30 10:30:00,59.84
2025-10-30 10:45:00,48.31
2025-10-30 11:00:00,60.79
2025-10-30 11:15:00,52.05
2025-10-30 11:30:00,50.57
2025-10-30 11:45:00,37.82
2025-10-30 12:00:00,65.58
2025-10-30 12:15:00,74.76
2025-10-30 12:30:00,63.51
2025-10-30 12:45:00,73.37
2025-10-30 13:00:00,76.78
2025-10-30 13:15:00,76.55
2025-10-30 13:30:00,81.08
2025-10-30 13:45:00,81.19
2025-10-30 14:00:00,67.55
2025-10-30 14:15:00,77.3
2025-10-30 14:30:00,92.7
2025-10-30 14:45:00,178.89
2025-10-30 15:00:00,132.54
2025-10-30 15:15:00,193.8
2025-10-30 15:30:00,186.55
2025-10-30 15:45:00,352.7
2025-10-30 16:00:00,169.69
2025-10-30 16:15:00,196.92
2025-10-30 16:30:00,175.52
2025-10-30 16:45:00,187.57999999999998
2025-10-30 17:00:00,199.64
2025-10-30 17:15:00,119.61
2025-10-30 17:30:00,122.82
2025-10-30 17:45:00,124.21
2025-10-30 18:00:00,182.32
2025-10-30 18:15:00,168.52
2025-10-30 18:30:00,214.38
2025-10-30 18:45:00,170.97
2025-10-30 19:00:00,208.14
2025-10-30 19:15:00,173.91
2025-10-30 19:30:00,110.08
2025-10-30 19:45:00,111.52
2025-10-30 20:00:00,159.46
2025-10-30 20:15:00,121.01
2025-10-30 20:30:00,114.21
2025-10-30 20:45:00,103.01
2025-10-30 21:00:00,125.0
2025-10-30 21:15:00,134.21
2025-10-30 21:30:00,122.94
2025-10-30 21:45:00,93.13
2025-10-30 22:00:00,119.17
2025-10-30 22:15:00,124.81
2025-10-30 22:30:00,114.47
2025-10-30 22:45:00,103.71
2025-10-30 23:00:00,111.44
2025-10-30 23:15:00,103.82
2025-10-30 23:30:00,98.21
2025-10-30 23:45:00,91.64
