timestamp,price
2025-10-08 00:00:00,93.4525
2025-10-08 01:00:00,88.4375
2025-10-08 02:00:00,87.56
2025-10-08 03:00:00,87.33
2025-10-08 04:00:00,90.605
2025-10-08 05:00:00,98.7675
2025-10-08 06:00:00,116.5225
2025-10-08 07:00:00,151.79
2025-10-08 08:00:00,165.35000000000002
2025-10-08 09:00:00,133.3375
2025-10-08 10:00:00,116.66250000000001
2025-10-08 11:00:00,104.64750000000001
2025-10-08 12:00:00,91.525
2025-10-08 13:00:00,90.53
2025-10-08 14:00:00,91.94
2025-10-08 15:00:00,101.125
2025-10-08 16:00:00,121.45249999999999
2025-10-08 17:00:00,150.175
2025-10-08 18:00:00,174.535
2025-10-08 19:00:00,198.76250000000002
2025-10-08 20:00:00,137.6425
2025-10-08 21:00:00,109.7725
2025-10-08 22:00:00,109.2675
2025-10-08 23:00:00,98.42500000000001
