timestamp,price
2025-09-07 00:00:00,90.38
2025-09-07 00:15:00,90.38
2025-09-07 00:30:00,90.38
2025-09-07 00:45:00,90.38
2025-09-07 01:00:00,92.73
2025-09-07 01:15:00,92.73
2025-09-07 01:30:00,92.73
2025-09-07 01:45:00,92.73
2025-09-07 02:00:00,81.21
2025-09-07 02:15:00,81.21
2025-09-07 02:30:00,81.21
2025-09-07 02:45:00,81.21
2025-09-07 03:00:00,80.9
2025-09-07 03:15:00,80.9
2025-09-07 03:30:00,80.9
2025-09-07 03:45:00,80.9
2025-09-07 04:00:00,80.1
2025-09-07 04:15:00,80.1
2025-09-07 04:30:00,80.1
2025-09-07 04:45:00,80.1
2025-09-07 05:00:00,80.06
2025-09-07 05:15:00,80.06
2025-09-07 05:30:00,80.06
2025-09-07 05:45:00,80.06
2025-09-07 06:00:00,84.96
2025-09-07 06:15:00,84.96
2025-09-07 06:30:00,84.96
2025-09-07 06:45:00,84.96
2025-09-07 07:00:00,64.74
2025-09-07 07:15:00,64.74
2025-09-07 07:30:00,64.74
2025-09-07 07:45:00,64.74
2025-09-07 08:00:00,14.65
2025-09-07 08:15:00,14.65
2025-09-07 08:30:00,14.65
2025-09-07 08:45:00,14.65
2025-09-07 09:00:00,6.07
2025-09-07 09:15:00,6.07
2025-09-07 09:30:00,6.07
2025-09-07 09:45:00,6.07
2025-09-07 10:00:00,-2.34
2025-09-07 10:15:00,-2.34
2025-09-07 10:30:00,-2.34
2025-09-07 10:45:00,-2.34
2025-09-07 11:00:00,-15.83
2025-09-07 11:15:00,-15.83
2025-09-07 11:30:00,-15.83
2025-09-07 11:45:00,-15.83
2025-09-07 12:00:00,-34.94
2025-09-07 12:15:00,-34.94
2025-09-07 12:30:00,-34.94
2025-09-07 12:45:00,-34.94
2025-09-07 13:00:00,-50.34
2025-09-07 13:15:00,-50.34
2025-09-07 13:30:00,-50.34
2025-09-07 13:45:00,-50.34
2025-09-07 14:00:00,-38.22
2025-09-07 14:15:00,-38.22
2025-09-07 14:30:00,-38.22
2025-09-07 14:45:00,-38.22
2025-09-07 15:00:00,-18.26
2025-09-07 15:15:00,-18.26
2025-09-07 15:30:00,-18.26
2025-09-07 15:45:00,-18.26
2025-09-07 16:00:00,13.13
2025-09-07 16:15:00,13.13
2025-09-07 16:30:00,13.13
2025-09-07 16:45:00,13.13
2025-09-07 17:00:00,62.49
2025-09-07 17:15:00,62.49
2025-09-07 17:30:00,62.49
2025-09-07 17:45:00,62.49
2025-09-07 18:00:00,141.65
2025-09-07 18:15:00,141.65
2025-09-07 18:30:00,141.65
2025-09-07 18:45:00,141.65
2025-09-07 19:00:00,199.71
2025-09-07 19:15:00,199.71
2025-09-07 19:30:00,199.71
2025-09-07 19:45:00,199.71
2025-09-07 20:00:00,185.18
2025-09-07 20:15:00,185.18
2025-09-07 20:30:00,185.18
2025-09-07 20:45:00,185.18
2025-09-07 21:00:00,141.23
2025-09-07 21:15:00,141.23
2025-09-07 21:30:00,141.23
2025-09-07 21:45:00,141.23
2025-09-07 22:00:00,117.09
2025-09-07 22:15:00,117.09
2025-09-07 22:30:00,117.09
2025-09-07 22:45:00,117.09
2025-09-07 23:00:00,99.86
2025-09-07 23:15:00,99.86
2025-09-07 23:30:00,99.86
2025-09-07 23:45:00,99.86
