id,DELIVERY_DATE,TYPE_OF_RESERVES,PRODUCT,ENERGY_PRICE_[EUR/MWh],ENERGY_PRICE_PAYMENT_DIRECTION,OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY,NOTE
20260523009-AFRR_P-UNIT_068-1,2026-05-23,aFRR,POS_001,190.49,PROVIDER_TO_GRID,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_N-UNIT_051-1,2026-05-23,aFRR,NEG_001,-144.0,GRID_TO_PROVIDER,5.0,5.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_P-UNIT_065-1,2026-05-23,aFRR,POS_001,190.07,PROVIDER_TO_GRID,12.0,12.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_P-UNIT_052-1,2026-05-23,aFRR,POS_001,140.0,PROVIDER_TO_GRID,31.0,31.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_P-UNIT_047-1,2026-05-23,aFRR,POS_001,500.0,PROVIDER_TO_GRID,10.0,10.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_P-UNIT_051-1,2026-05-23,aFRR,POS_001,350.0,PROVIDER_TO_GRID,5.0,5.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_P-UNIT_069-1,2026-05-23,aFRR,POS_001,135.0,PROVIDER_TO_GRID,15.0,15.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_P-UNIT_028-1,2026-05-23,aFRR,POS_001,190.49,PROVIDER_TO_GRID,5.0,5.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_P-UNIT_058-1,2026-05-23,aFRR,POS_001,200.0,PROVIDER_TO_GRID,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_P-UNIT_008-1,2026-05-23,aFRR,POS_001,190.07,PROVIDER_TO_GRID,10.0,10.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_P-UNIT_062-1,2026-05-23,aFRR,POS_001,143.0,PROVIDER_TO_GRID,8.0,8.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_P-UNIT_043-1,2026-05-23,aFRR,POS_001,143.0,PROVIDER_TO_GRID,2.0,2.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_P-UNIT_063-1,2026-05-23,aFRR,POS_001,110.0,PROVIDER_TO_GRID,9.0,9.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_P-UNIT_104-1,2026-05-23,aFRR,POS_001,750.0,PROVIDER_TO_GRID,11.0,11.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_P-UNIT_009-1,2026-05-23,aFRR,POS_001,190.07,PROVIDER_TO_GRID,3.0,3.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_P-UNIT_106-1,2026-05-23,aFRR,POS_001,300.0,PROVIDER_TO_GRID,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_P-UNIT_123-1,2026-05-23,aFRR,POS_001,189.0,PROVIDER_TO_GRID,7.0,7.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_N-UNIT_068-1,2026-05-23,aFRR,NEG_001,-5.0,GRID_TO_PROVIDER,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_N-UNIT_052-1,2026-05-23,aFRR,NEG_001,-30.0,GRID_TO_PROVIDER,7.0,7.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_N-UNIT_069-1,2026-05-23,aFRR,NEG_001,-150.0,GRID_TO_PROVIDER,12.0,12.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_N-UNIT_028-1,2026-05-23,aFRR,NEG_001,-5.0,GRID_TO_PROVIDER,5.0,5.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_N-UNIT_058-1,2026-05-23,aFRR,NEG_001,-50.0,GRID_TO_PROVIDER,2.0,2.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_N-UNIT_013-1,2026-05-23,aFRR,NEG_001,-10.0,GRID_TO_PROVIDER,21.0,21.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_N-UNIT_010-1,2026-05-23,aFRR,NEG_001,-10.0,GRID_TO_PROVIDER,30.0,30.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_N-UNIT_062-1,2026-05-23,aFRR,NEG_001,-29.0,GRID_TO_PROVIDER,11.0,11.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_N-UNIT_043-1,2026-05-23,aFRR,NEG_001,10.0,GRID_TO_PROVIDER,3.0,3.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_N-UNIT_104-1,2026-05-23,aFRR,NEG_001,-5.0,GRID_TO_PROVIDER,4.0,4.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_N-UNIT_089-1,2026-05-23,aFRR,NEG_001,-123.93,GRID_TO_PROVIDER,3.0,3.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_N-UNIT_019-1,2026-05-23,aFRR,NEG_001,-199.0,GRID_TO_PROVIDER,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_N-UNIT_106-1,2026-05-23,aFRR,NEG_001,-19.0,GRID_TO_PROVIDER,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_N-UNIT_123-1,2026-05-23,aFRR,NEG_001,-5.0,GRID_TO_PROVIDER,6.0,6.0,SK,ENTSO-E BalancingEnergyBids
20260523009-AFRR_P-UNIT_019-1,2026-05-23,aFRR,POS_001,257.0,PROVIDER_TO_GRID,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260523010-AFRR_N-UNIT_051-1,2026-05-23,aFRR,NEG_002,-144.0,GRID_TO_PROVIDER,5.0,5.0,SK,ENTSO-E BalancingEnergyBids
20260523010-AFRR_N-UNIT_069-1,2026-05-23,aFRR,NEG_002,-150.0,GRID_TO_PROVIDER,12.0,12.0,SK,ENTSO-E BalancingEnergyBids
