,id,DELIVERY_DATE,TYPE_OF_RESERVES,PRODUCT,ENERGY_PRICE_[EUR/MWh],ENERGY_PRICE_PAYMENT_DIRECTION,OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY,NOTE
56,47728120,2025-03-01,aFRR,NEG_001,6320.31,GRID_TO_PROVIDER,1.0,1.0,DE,
57,47728121,2025-03-01,aFRR,NEG_001,6495.31,GRID_TO_PROVIDER,1.0,1.0,DE,
58,47728122,2025-03-01,aFRR,NEG_001,6670.31,GRID_TO_PROVIDER,1.0,1.0,DE,
59,47728123,2025-03-01,aFRR,NEG_001,6845.31,GRID_TO_PROVIDER,1.0,1.0,DE,
60,47728124,2025-03-01,aFRR,NEG_001,7020.31,GRID_TO_PROVIDER,1.0,1.0,DE,
61,47728125,2025-03-01,aFRR,NEG_001,7195.31,GRID_TO_PROVIDER,1.0,1.0,DE,
62,47728126,2025-03-01,aFRR,NEG_001,7370.31,GRID_TO_PROVIDER,1.0,1.0,DE,
63,47728127,2025-03-01,aFRR,NEG_001,7545.31,GRID_TO_PROVIDER,1.0,1.0,DE,
64,47728128,2025-03-01,aFRR,NEG_001,7720.31,GRID_TO_PROVIDER,1.0,1.0,DE,
65,47728129,2025-03-01,aFRR,NEG_001,7895.31,GRID_TO_PROVIDER,1.0,1.0,DE,
66,47728130,2025-03-01,aFRR,NEG_001,8070.31,GRID_TO_PROVIDER,1.0,1.0,DE,
67,47728131,2025-03-01,aFRR,NEG_001,8245.31,GRID_TO_PROVIDER,1.0,1.0,DE,
68,47728132,2025-03-01,aFRR,NEG_001,8420.31,GRID_TO_PROVIDER,1.0,1.0,DE,
69,47728133,2025-03-01,aFRR,NEG_001,8595.31,GRID_TO_PROVIDER,1.0,1.0,DE,
70,47728134,2025-03-01,aFRR,NEG_001,8770.31,GRID_TO_PROVIDER,1.0,1.0,DE,
71,47728135,2025-03-01,aFRR,NEG_001,8945.31,GRID_TO_PROVIDER,1.0,1.0,DE,
72,47728136,2025-03-01,aFRR,NEG_001,9120.31,GRID_TO_PROVIDER,1.0,1.0,DE,
73,47728137,2025-03-01,aFRR,NEG_001,16.73,PROVIDER_TO_GRID,5.0,5.0,DE,
74,47728138,2025-03-01,aFRR,NEG_001,4.74,PROVIDER_TO_GRID,5.0,5.0,DE,
75,47728139,2025-03-01,aFRR,NEG_001,2.74,PROVIDER_TO_GRID,5.0,5.0,DE,
76,47728140,2025-03-01,aFRR,NEG_001,0.74,PROVIDER_TO_GRID,5.0,5.0,DE,
77,47728141,2025-03-01,aFRR,NEG_001,1.25,GRID_TO_PROVIDER,5.0,5.0,DE,
78,47728142,2025-03-01,aFRR,NEG_001,3.26,GRID_TO_PROVIDER,5.0,5.0,DE,
79,47728143,2025-03-01,aFRR,NEG_001,5.26,GRID_TO_PROVIDER,5.0,5.0,DE,
80,47728144,2025-03-01,aFRR,NEG_001,7.26,GRID_TO_PROVIDER,5.0,5.0,DE,
81,47728145,2025-03-01,aFRR,NEG_001,9.26,GRID_TO_PROVIDER,5.0,5.0,DE,
82,47728146,2025-03-01,aFRR,NEG_001,11.26,GRID_TO_PROVIDER,5.0,5.0,DE,
83,47728147,2025-03-01,aFRR,NEG_001,13.26,GRID_TO_PROVIDER,5.0,5.0,DE,
84,47728148,2025-03-01,aFRR,NEG_001,15.26,GRID_TO_PROVIDER,5.0,5.0,DE,
85,47728149,2025-03-01,aFRR,NEG_001,17.25,GRID_TO_PROVIDER,5.0,5.0,DE,
86,47728150,2025-03-01,aFRR,NEG_001,19.25,GRID_TO_PROVIDER,5.0,5.0,DE,
87,47728151,2025-03-01,aFRR,NEG_001,21.25,GRID_TO_PROVIDER,5.0,5.0,DE,
88,47728152,2025-03-01,aFRR,NEG_001,23.25,GRID_TO_PROVIDER,5.0,5.0,DE,
89,47728153,2025-03-01,aFRR,NEG_001,25.25,GRID_TO_PROVIDER,5.0,5.0,DE,
90,47728154,2025-03-01,aFRR,NEG_001,27.25,GRID_TO_PROVIDER,5.0,5.0,DE,
91,47728155,2025-03-01,aFRR,NEG_001,29.25,GRID_TO_PROVIDER,5.0,5.0,DE,
92,47728156,2025-03-01,aFRR,NEG_001,31.25,GRID_TO_PROVIDER,5.0,5.0,DE,
93,47728157,2025-03-01,aFRR,NEG_001,33.26,GRID_TO_PROVIDER,5.0,5.0,DE,
94,47728158,2025-03-01,aFRR,NEG_001,35.26,GRID_TO_PROVIDER,5.0,5.0,DE,
95,47728159,2025-03-01,aFRR,NEG_001,37.26,GRID_TO_PROVIDER,5.0,5.0,DE,
96,47728160,2025-03-01,aFRR,NEG_001,68.06,GRID_TO_PROVIDER,2.0,2.0,DE,
97,47728161,2025-03-01,aFRR,NEG_001,70.13,GRID_TO_PROVIDER,2.0,2.0,DE,
98,47728162,2025-03-01,aFRR,NEG_001,72.36,GRID_TO_PROVIDER,2.0,2.0,DE,
99,47728163,2025-03-01,aFRR,NEG_001,74.63,GRID_TO_PROVIDER,2.0,2.0,DE,
100,47728164,2025-03-01,aFRR,NEG_001,76.76,GRID_TO_PROVIDER,2.0,2.0,DE,
101,47728165,2025-03-01,aFRR,NEG_001,78.73,GRID_TO_PROVIDER,2.0,2.0,DE,
102,47728166,2025-03-01,aFRR,NEG_001,80.89,GRID_TO_PROVIDER,2.0,2.0,DE,
103,47728167,2025-03-01,aFRR,NEG_001,83.2,GRID_TO_PROVIDER,2.0,2.0,DE,
104,47728168,2025-03-01,aFRR,NEG_001,85.36,GRID_TO_PROVIDER,2.0,2.0,DE,
105,47728169,2025-03-01,aFRR,NEG_001,87.34,GRID_TO_PROVIDER,2.0,2.0,DE,
106,47728170,2025-03-01,aFRR,NEG_001,89.57,GRID_TO_PROVIDER,2.0,2.0,DE,
107,47728171,2025-03-01,aFRR,NEG_001,91.53,GRID_TO_PROVIDER,2.0,2.0,DE,
108,47728172,2025-03-01,aFRR,NEG_001,93.72,GRID_TO_PROVIDER,2.0,2.0,DE,
109,47728173,2025-03-01,aFRR,NEG_001,96.1,GRID_TO_PROVIDER,2.0,2.0,DE,
110,47728174,2025-03-01,aFRR,NEG_001,98.1,GRID_TO_PROVIDER,2.0,2.0,DE,
111,47728175,2025-03-01,aFRR,NEG_001,100.35,GRID_TO_PROVIDER,2.0,2.0,DE,
112,47728176,2025-03-01,aFRR,NEG_001,102.74,GRID_TO_PROVIDER,2.0,2.0,DE,
113,47728177,2025-03-01,aFRR,NEG_001,104.94,GRID_TO_PROVIDER,2.0,2.0,DE,
114,47728178,2025-03-01,aFRR,NEG_001,106.58,GRID_TO_PROVIDER,2.0,2.0,DE,
115,47728179,2025-03-01,aFRR,NEG_001,108.83,GRID_TO_PROVIDER,2.0,2.0,DE,
116,47728180,2025-03-01,aFRR,NEG_001,111.29,GRID_TO_PROVIDER,2.0,2.0,DE,
117,47728181,2025-03-01,aFRR,NEG_001,113.41,GRID_TO_PROVIDER,2.0,2.0,DE,
118,47728182,2025-03-01,aFRR,NEG_001,115.62,GRID_TO_PROVIDER,2.0,2.0,DE,
119,47728183,2025-03-01,aFRR,NEG_001,117.74,GRID_TO_PROVIDER,2.0,2.0,DE,
120,47728184,2025-03-01,aFRR,NEG_001,117.76,GRID_TO_PROVIDER,1.0,1.0,DE,
121,47728185,2025-03-01,aFRR,NEG_001,119.87,GRID_TO_PROVIDER,2.0,2.0,DE,
