id,DELIVERY_DATE,TYPE_OF_RESERVES,PRODUCT,ENERGY_PRICE_[EUR/MWh],ENERGY_PRICE_PAYMENT_DIRECTION,OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY,NOTE
20260226005-AFRR_P-UNIT_068-1,2026-02-26,aFRR,POS_005,132.0,PROVIDER_TO_GRID,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_P-UNIT_065-1,2026-02-26,aFRR,POS_005,165.0,PROVIDER_TO_GRID,16.0,16.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_P-UNIT_052-1,2026-02-26,aFRR,POS_005,130.0,PROVIDER_TO_GRID,23.0,23.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_P-UNIT_047-1,2026-02-26,aFRR,POS_005,0.0,PROVIDER_TO_GRID,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_P-UNIT_069-1,2026-02-26,aFRR,POS_005,100.0,PROVIDER_TO_GRID,15.0,15.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_P-UNIT_058-1,2026-02-26,aFRR,POS_005,132.0,PROVIDER_TO_GRID,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_P-UNIT_062-1,2026-02-26,aFRR,POS_005,105.0,PROVIDER_TO_GRID,9.0,9.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_P-UNIT_043-1,2026-02-26,aFRR,POS_005,105.0,PROVIDER_TO_GRID,2.0,2.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_P-UNIT_063-1,2026-02-26,aFRR,POS_005,140.0,PROVIDER_TO_GRID,10.0,10.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_P-UNIT_104-1,2026-02-26,aFRR,POS_005,750.0,PROVIDER_TO_GRID,11.0,11.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_P-UNIT_003-1,2026-02-26,aFRR,POS_005,189.0,PROVIDER_TO_GRID,6.0,6.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_P-UNIT_097-1,2026-02-26,aFRR,POS_005,85.0,PROVIDER_TO_GRID,7.0,7.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_P-UNIT_009-1,2026-02-26,aFRR,POS_005,165.0,PROVIDER_TO_GRID,3.0,3.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_P-UNIT_106-1,2026-02-26,aFRR,POS_005,300.0,PROVIDER_TO_GRID,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_N-UNIT_068-1,2026-02-26,aFRR,NEG_005,-5.0,GRID_TO_PROVIDER,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_N-UNIT_052-1,2026-02-26,aFRR,NEG_005,-30.0,GRID_TO_PROVIDER,10.0,10.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_N-UNIT_069-1,2026-02-26,aFRR,NEG_005,-150.0,GRID_TO_PROVIDER,15.0,15.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_N-UNIT_058-1,2026-02-26,aFRR,NEG_005,-5.0,GRID_TO_PROVIDER,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_N-UNIT_013-1,2026-02-26,aFRR,NEG_005,-20.0,GRID_TO_PROVIDER,30.0,30.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_N-UNIT_062-1,2026-02-26,aFRR,NEG_005,-29.0,GRID_TO_PROVIDER,15.0,15.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_N-UNIT_043-1,2026-02-26,aFRR,NEG_005,10.0,GRID_TO_PROVIDER,7.0,7.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_N-UNIT_104-1,2026-02-26,aFRR,NEG_005,20.0,GRID_TO_PROVIDER,4.0,4.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_N-UNIT_089-1,2026-02-26,aFRR,NEG_005,-175.1,GRID_TO_PROVIDER,3.0,3.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_N-UNIT_003-1,2026-02-26,aFRR,NEG_005,-5.0,GRID_TO_PROVIDER,4.0,4.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_N-UNIT_019-1,2026-02-26,aFRR,NEG_005,-199.0,GRID_TO_PROVIDER,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_N-UNIT_106-1,2026-02-26,aFRR,NEG_005,-19.0,GRID_TO_PROVIDER,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_P-UNIT_019-1,2026-02-26,aFRR,POS_005,251.0,PROVIDER_TO_GRID,1.0,1.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_P-UNIT_028-1,2026-02-26,aFRR,POS_005,80.0,PROVIDER_TO_GRID,11.0,11.0,SK,ENTSO-E BalancingEnergyBids
20260226005-AFRR_N-UNIT_028-1,2026-02-26,aFRR,NEG_005,-200.0,GRID_TO_PROVIDER,14.0,14.0,SK,ENTSO-E BalancingEnergyBids
20260226007-AFRR_N-UNIT_003-1,2026-02-26,aFRR,NEG_007,-5.0,GRID_TO_PROVIDER,4.0,4.0,SK,ENTSO-E BalancingEnergyBids
20260226007-AFRR_N-UNIT_013-1,2026-02-26,aFRR,NEG_007,-20.0,GRID_TO_PROVIDER,30.0,30.0,SK,ENTSO-E BalancingEnergyBids
