timestamp,price
2025-05-02 00:00:00,133.305
2025-05-02 00:15:00,43.3323
2025-05-02 00:30:00,133.305
2025-05-02 00:45:00,69.9263
2025-05-02 01:00:00,119.4244
2025-05-02 01:15:00,156.2221
2025-05-02 01:30:00,110.775
2025-05-02 01:45:00,110.775
2025-05-02 02:00:00,95.49
2025-05-02 02:15:00,95.49
2025-05-02 02:30:00,95.49
2025-05-02 02:45:00,52.7668
2025-05-02 03:00:00,41.5122
2025-05-02 03:15:00,112.1406
2025-05-02 03:30:00,44.4481
2025-05-02 03:45:00,41.0468
2025-05-02 04:00:00,66.11
2025-05-02 04:15:00,66.11
2025-05-02 04:30:00,45.5687
2025-05-02 04:45:00,20.4332
2025-05-02 05:00:00,58.35
2025-05-02 05:15:00,75.93
2025-05-02 05:30:00,75.93
2025-05-02 05:45:00,38.5315
2025-05-02 06:00:00,28.4508
2025-05-02 06:15:00,37.1947
2025-05-02 06:30:00,33.4671
2025-05-02 06:45:00,43.2844
2025-05-02 07:00:00,17.9377
2025-05-02 07:15:00,-8.8332
2025-05-02 07:30:00,-13.9812
2025-05-02 07:45:00,-11.3736
2025-05-02 08:00:00,111.855
2025-05-02 08:15:00,38.9118
2025-05-02 08:30:00,24.7957
2025-05-02 08:45:00,-5.1326
2025-05-02 09:00:00,151.2746
2025-05-02 09:15:00,95.2818
2025-05-02 09:30:00,-4.7812
2025-05-02 09:45:00,-64.7585
2025-05-02 10:00:00,0.5194
2025-05-02 10:15:00,-37.1021
2025-05-02 10:30:00,4.3918
2025-05-02 10:45:00,24.0908
2025-05-02 11:00:00,184.9007
2025-05-02 11:15:00,48.1283
2025-05-02 11:30:00,-4.3279
2025-05-02 11:45:00,-4.3279
2025-05-02 12:00:00,94.8113
2025-05-02 12:15:00,86.3138
2025-05-02 12:30:00,85.843
2025-05-02 12:45:00,-8.0344
2025-05-02 13:00:00,86.9141
2025-05-02 13:15:00,176.2739
2025-05-02 13:30:00,71.5259
2025-05-02 13:45:00,111.1226
2025-05-02 14:00:00,37.7572
2025-05-02 14:15:00,73.3877
2025-05-02 14:30:00,-6.0
2025-05-02 14:45:00,-20.4743
2025-05-02 15:00:00,-0.12
2025-05-02 15:15:00,-0.12
2025-05-02 15:30:00,-0.12
2025-05-02 15:45:00,-0.12
2025-05-02 16:00:00,-19.221
2025-05-02 16:15:00,0.1884
2025-05-02 16:30:00,0.3
2025-05-02 16:45:00,175.1992
2025-05-02 17:00:00,35.3849
2025-05-02 17:15:00,51.0002
2025-05-02 17:30:00,69.24
2025-05-02 17:45:00,177.6926
2025-05-02 18:00:00,74.3291
2025-05-02 18:15:00,89.3974
2025-05-02 18:30:00,86.8674
2025-05-02 18:45:00,171.6936
2025-05-02 19:00:00,67.2396
2025-05-02 19:15:00,73.8287
2025-05-02 19:30:00,183.795
2025-05-02 19:45:00,118.3294
2025-05-02 20:00:00,127.963
2025-05-02 20:15:00,125.3878
2025-05-02 20:30:00,224.91
2025-05-02 20:45:00,149.2487
2025-05-02 21:00:00,192.5296
2025-05-02 21:15:00,183.93
2025-05-02 21:30:00,104.0993
2025-05-02 21:45:00,23.3478
2025-05-02 22:00:00,186.4786
2025-05-02 22:15:00,175.428
2025-05-02 22:30:00,175.428
2025-05-02 22:45:00,162.24
2025-05-02 23:00:00,157.7352
2025-05-02 23:15:00,154.9694
2025-05-02 23:30:00,34.9308
2025-05-02 23:45:00,30.3099
