timestamp,price
2025-03-30 00:00:00,75.51
2025-03-30 00:15:00,84.28
2025-03-30 00:30:00,41.16
2025-03-30 00:45:00,31.26
2025-03-30 01:00:00,80.69
2025-03-30 01:15:00,25.54
2025-03-30 01:30:00,22.69
2025-03-30 01:45:00,12.61
2025-03-30 02:00:00,14.67
2025-03-30 02:15:00,17.77
2025-03-30 02:30:00,11.93
2025-03-30 02:45:00,6.6
2025-03-30 03:00:00,8.03
2025-03-30 03:15:00,1.92
2025-03-30 03:30:00,0.19
2025-03-30 03:45:00,0.66
2025-03-30 04:00:00,5.83
2025-03-30 04:15:00,5.94
2025-03-30 04:30:00,6.64
2025-03-30 04:45:00,4.9
2025-03-30 05:00:00,2.74
2025-03-30 05:15:00,5.2
2025-03-30 05:30:00,3.66
2025-03-30 05:45:00,2.6
2025-03-30 06:00:00,4.69
2025-03-30 06:15:00,3.15
2025-03-30 06:30:00,3.36
2025-03-30 06:45:00,3.8
2025-03-30 07:00:00,10.76
2025-03-30 07:15:00,4.64
2025-03-30 07:30:00,2.48
2025-03-30 07:45:00,1.17
2025-03-30 08:00:00,10.67
2025-03-30 08:15:00,2.11
2025-03-30 08:30:00,-2.88
2025-03-30 08:45:00,-4.24
2025-03-30 09:00:00,-2.11
2025-03-30 09:15:00,-3.13
2025-03-30 09:30:00,-2.15
2025-03-30 09:45:00,-3.41
2025-03-30 10:00:00,-6.23
2025-03-30 10:15:00,-4.19
2025-03-30 10:30:00,-0.78
2025-03-30 10:45:00,-6.41
2025-03-30 11:00:00,-7.39
2025-03-30 11:15:00,-5.67
2025-03-30 11:30:00,-8.83
2025-03-30 11:45:00,-14.3
2025-03-30 12:00:00,-18.23
2025-03-30 12:15:00,-15.88
2025-03-30 12:30:00,-14.54
2025-03-30 12:45:00,-7.85
2025-03-30 13:00:00,-13.66
2025-03-30 13:15:00,-9.42
2025-03-30 13:30:00,-5.69
2025-03-30 13:45:00,-4.62
2025-03-30 14:00:00,-9.4
2025-03-30 14:15:00,-8.71
2025-03-30 14:30:00,-2.59
2025-03-30 14:45:00,-1.96
2025-03-30 15:00:00,-7.8
2025-03-30 15:15:00,-5.0
2025-03-30 15:30:00,-0.8
2025-03-30 15:45:00,11.3
2025-03-30 16:00:00,-8.65
2025-03-30 16:15:00,-91.64
2025-03-30 16:30:00,46.47
2025-03-30 16:45:00,151.09
2025-03-30 17:00:00,22.33
2025-03-30 17:15:00,21.85
2025-03-30 17:30:00,91.2
2025-03-30 17:45:00,167.0
2025-03-30 18:00:00,87.13
2025-03-30 18:15:00,96.13
2025-03-30 18:30:00,214.08
2025-03-30 18:45:00,133.04
2025-03-30 19:00:00,130.53
2025-03-30 19:15:00,113.45
2025-03-30 19:30:00,97.1
2025-03-30 19:45:00,82.24
2025-03-30 20:00:00,185.01
2025-03-30 20:15:00,111.0
2025-03-30 20:30:00,97.13
2025-03-30 20:45:00,79.85
2025-03-30 21:00:00,133.61
2025-03-30 21:15:00,72.6
2025-03-30 21:30:00,65.71
2025-03-30 21:45:00,47.56
2025-03-30 22:00:00,93.37
2025-03-30 22:15:00,59.35
2025-03-30 22:30:00,60.68
2025-03-30 22:45:00,52.75
2025-03-30 23:00:00,52.75
2025-03-30 23:15:00,52.75
2025-03-30 23:30:00,52.75
2025-03-30 23:45:00,52.75
