source_file,service,source_type,date,timestamp_local,hour,quarter_in_hour,quarter_hour,up_volume_mwh,up_price_eur_mwh,down_volume_mwh,down_price_eur_mwh,up_revenue_eur,down_revenue_eur,total_energy_revenue_eur,net_volume_mwh,gross_volume_mwh
01_seps_damas_regulacna_elektrina_2025_01_03.xlsx,aFRR,Generation,2025-02-03,2025-02-03 00:00:00,1,1,1,0.303,163.0541,0.141,5.1681,49.4053923,0.7287020999999999,50.1340944,0.162,0.44399999999999995
01_seps_damas_regulacna_elektrina_2025_01_03.xlsx,aFRR,Generation,2025-02-03,2025-02-03 00:15:00,1,2,2,0.272,162.0452,0.003,13.3333,44.0762944,0.0399999,44.1162943,0.269,0.275
01_seps_damas_regulacna_elektrina_2025_01_03.xlsx,aFRR,Generation,2025-02-03,2025-02-03 00:30:00,1,3,3,0.0,0.0,0.336,10.6777,0.0,3.5877072,3.5877072,-0.336,0.336
01_seps_damas_regulacna_elektrina_2025_01_03.xlsx,aFRR,Generation,2025-02-03,2025-02-03 00:45:00,1,4,4,0.215,159.4721,0.233,10.0146,34.2865015,2.3334018,36.6199033,-0.018000000000000016,0.448
01_seps_damas_regulacna_elektrina_2025_01_03.xlsx,aFRR,Generation,2025-02-03,2025-02-03 01:00:00,2,1,5,0.123,153.5463,0.28,7.4868,18.8861949,2.096304,20.9824989,-0.15700000000000003,0.403
01_seps_damas_regulacna_elektrina_2025_01_03.xlsx,aFRR,Generation,2025-02-03,2025-02-03 01:15:00,2,2,6,0.092,157.2685,0.777,9.8134,14.468701999999999,7.6250118,22.0937138,-0.685,0.869
01_seps_damas_regulacna_elektrina_2025_01_03.xlsx,aFRR,Generation,2025-02-03,2025-02-03 01:30:00,2,3,7,0.169,158.5692,0.058,9.9431,26.7981948,0.5766998,27.3748946,0.11100000000000002,0.227
01_seps_damas_regulacna_elektrina_2025_01_03.xlsx,aFRR,Generation,2025-02-03,2025-02-03 01:45:00,2,4,8,0.139,153.7439,0.402,8.1017,21.3704021,3.2568834,24.6272855,-0.263,0.541
01_seps_damas_regulacna_elektrina_2025_01_03.xlsx,aFRR,Generation,2025-02-03,2025-02-03 02:00:00,3,1,9,0.197,166.6579,0.409,9.032,32.831606300000004,3.694088,36.525694300000005,-0.21199999999999997,0.606
01_seps_damas_regulacna_elektrina_2025_01_03.xlsx,aFRR,Generation,2025-02-03,2025-02-03 02:15:00,3,2,10,0.001,0.0,0.452,9.9754,0.0,4.5088808,4.5088808,-0.451,0.453
01_seps_damas_regulacna_elektrina_2025_01_03.xlsx,aFRR,Generation,2025-02-03,2025-02-03 02:30:00,3,3,11,0.0,0.0,0.143,10.4895,0.0,1.4999984999999998,1.4999984999999998,-0.143,0.143
01_seps_damas_regulacna_elektrina_2025_01_03.xlsx,aFRR,Generation,2025-02-03,2025-02-03 02:45:00,3,4,12,0.0,0.0,0.067,10.3821,0.0,0.6956007,0.6956007,-0.067,0.067
01_seps_damas_regulacna_elektrina_2025_01_03.xlsx,aFRR,Generation,2025-02-03,2025-02-03 03:00:00,4,1,13,0.032,147.5,0.005,2.58,4.72,0.0129,4.7329,0.027,0.037
01_seps_damas_regulacna_elektrina_2025_01_03.xlsx,aFRR,Generation,2025-02-03,2025-02-03 03:15:00,4,2,14,0.47,159.66,0.028,10.1964,75.0402,0.2854992,75.3256992,0.44199999999999995,0.498
01_seps_damas_regulacna_elektrina_2025_01_03.xlsx,aFRR,Generation,2025-02-03,2025-02-03 03:30:00,4,3,15,3.304,169.2996,0.016,-10.9438,559.3658783999999,-0.1751008,559.1907775999999,3.288,3.32
01_seps_damas_regulacna_elektrina_2025_01_03.xlsx,aFRR,Generation,2025-02-03,2025-02-03 03:45:00,4,4,16,1.036,164.6544,0.008,11.3875,170.58195840000002,0.0911,170.67305840000003,1.028,1.044
01_seps_damas_regulacna_elektrina_2025_01_03.xlsx,aFRR,Generation,2025-02-03,2025-02-03 04:00:00,5,1,17,0.002,0.0,0.567,9.8552,0.0,5.587898399999999,5.587898399999999,-0.565,0.569
01_seps_damas_regulacna_elektrina_2025_01_03.xlsx,aFRR,Generation,2025-02-03,2025-02-03 04:15:00,5,2,18,0.165,151.3345,0.068,9.8044,24.9701925,0.6666992,25.6368917,0.097,0.233
01_seps_damas_regulacna_elektrina_2025_01_03.xlsx,aFRR,Generation,2025-02-03,2025-02-03 04:30:00,5,3,19,0.334,150.8198,0.24,7.5296,50.3738132,1.807104,52.1809172,0.09400000000000003,0.5740000000000001
