source_file,service,source_type,date,timestamp_local,hour,quarter_in_hour,quarter_hour,up_volume_mwh,up_price_eur_mwh,down_volume_mwh,down_price_eur_mwh,up_revenue_eur,down_revenue_eur,total_energy_revenue_eur,net_volume_mwh,gross_volume_mwh
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 00:00:00,1,1,1,7.015,129.2705,0.0,0.012,906.8325574999999,0.0,906.8325574999999,7.015,7.015
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 00:15:00,1,2,2,1.209,85.0328,0.0,0.008,102.8046552,0.0,102.8046552,1.209,1.209
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 00:30:00,1,3,3,0.179,87.0453,0.0,0.006,15.5811087,0.0,15.5811087,0.179,0.179
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 00:45:00,1,4,4,0.652,85.4235,0.0,0.116,55.696122,0.0,55.696122,0.652,0.652
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 01:00:00,2,1,5,1.048,91.2188,0.0,0.028,95.5973024,0.0,95.5973024,1.048,1.048
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 01:15:00,2,2,6,1.477,85.5187,0.0,0.008,126.3111199,0.0,126.3111199,1.477,1.477
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 01:30:00,2,3,7,1.985,89.6308,0.0,0.028,177.917138,0.0,177.917138,1.985,1.985
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 01:45:00,2,4,8,0.849,82.5889,0.0,0.052,70.11797609999999,0.0,70.11797609999999,0.849,0.849
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 02:00:00,3,1,9,0.709,84.6226,0.0,0.019,59.9974234,0.0,59.9974234,0.709,0.709
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 02:15:00,3,2,10,0.107,70.0,0.0,0.015,7.49,0.0,7.49,0.107,0.107
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 02:30:00,3,3,11,0.133,71.1323,0.0,0.016,9.460595900000001,0.0,9.460595900000001,0.133,0.133
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 02:45:00,3,4,12,3.056,108.3336,0.0,0.015,331.0674816,0.0,331.0674816,3.056,3.056
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 03:00:00,4,1,13,2.416,118.17,0.0,0.083,285.49872,0.0,285.49872,2.416,2.416
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 03:15:00,4,2,14,0.029,69.1966,0.0,0.63,2.0067014000000003,0.0,2.0067014000000003,0.029,0.029
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 03:30:00,4,3,15,1.294,94.0132,0.0,0.013,121.6530808,0.0,121.6530808,1.294,1.294
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 03:45:00,4,4,16,5.383,97.2516,0.0,0.002,523.5053628,0.0,523.5053628,5.383,5.383
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 04:00:00,5,1,17,9.485,137.0026,0.0,0.007,1299.4696609999999,0.0,1299.4696609999999,9.485,9.485
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 04:15:00,5,2,18,6.905,122.0846,0.0,0.0,842.994163,0.0,842.994163,6.905,6.905
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 04:30:00,5,3,19,6.918,125.1862,0.0,0.0,866.0381316,0.0,866.0381316,6.918,6.918
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 04:45:00,5,4,20,7.387,117.9754,0.0,0.0,871.4842797999999,0.0,871.4842797999999,7.387,7.387
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 05:00:00,6,1,21,5.189,104.9347,0.0,0.002,544.5061583,0.0,544.5061583,5.189,5.189
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 05:15:00,6,2,22,2.908,96.8551,0.0,0.006,281.65463079999995,0.0,281.65463079999995,2.908,2.908
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 05:30:00,6,3,23,0.324,73.2519,0.0,0.161,23.733615600000004,0.0,23.733615600000004,0.324,0.324
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 05:45:00,6,4,24,0.076,74.4816,0.0,0.809,5.6606016,0.0,5.6606016,0.076,0.076
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 06:00:00,7,1,25,0.002,96.65,0.0,1.881,0.19330000000000003,0.0,0.19330000000000003,0.002,0.002
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 06:15:00,7,2,26,0.034,90.0,0.0,3.05,3.06,0.0,3.06,0.034,0.034
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 06:30:00,7,3,27,0.04,89.1875,0.0,3.996,3.5675,0.0,3.5675,0.04,0.04
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 06:45:00,7,4,28,0.132,91.5144,0.0,2.398,12.0799008,0.0,12.0799008,0.132,0.132
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 07:00:00,8,1,29,0.0,0.0,0.0,9.794,0.0,0.0,0.0,0.0,0.0
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 07:15:00,8,2,30,0.0,0.0,0.0,11.452,0.0,0.0,0.0,0.0,0.0
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 07:30:00,8,3,31,0.044,89.7727,0.0,4.524,3.9499988,0.0,3.9499988,0.044,0.044
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 07:45:00,8,4,32,0.024,51.3542,0.0,8.555,1.2325008,0.0,1.2325008,0.024,0.024
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 08:00:00,9,1,33,0.009,89.0444,0.0,2.308,0.8013995999999999,0.0,0.8013995999999999,0.009,0.009
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 08:15:00,9,2,34,0.068,76.0441,0.0,0.15,5.1709988000000005,0.0,5.1709988000000005,0.068,0.068
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 08:30:00,9,3,35,2.964,87.696,0.0,0.0,259.930944,0.0,259.930944,2.964,2.964
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 08:45:00,9,4,36,4.002,99.8912,0.0,0.001,399.7645824,0.0,399.7645824,4.002,4.002
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 09:00:00,10,1,37,8.01,133.0435,0.0,0.001,1065.678435,0.0,1065.678435,8.01,8.01
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 09:15:00,10,2,38,5.131,117.4718,0.0,0.0,602.7478058,0.0,602.7478058,5.131,5.131
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 09:30:00,10,3,39,3.086,91.7283,0.0,0.046,283.0735338,0.0,283.0735338,3.086,3.086
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 09:45:00,10,4,40,0.281,79.8416,0.0,0.007,22.4354896,0.0,22.4354896,0.281,0.281
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 10:00:00,11,1,41,1.672,84.2656,0.0,0.07,140.8920832,0.0,140.8920832,1.672,1.672
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 10:15:00,11,2,42,0.008,79.45,0.0,1.173,0.6356,0.0,0.6356,0.008,0.008
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 10:30:00,11,3,43,0.603,87.5849,0.0,0.459,52.8136947,0.0,52.8136947,0.603,0.603
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 10:45:00,11,4,44,0.079,81.4203,0.0,0.738,6.4322037,0.0,6.4322037,0.079,0.079
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 11:00:00,12,1,45,0.264,90.35,0.0,0.221,23.8524,0.0,23.8524,0.264,0.264
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 11:15:00,12,2,46,0.0,0.0,0.0,0.102,0.0,0.0,0.0,0.0,0.0
06_seps_damas_regulacna_elektrina_2025_11_12.xlsx,aFRR,Generation,2025-12-30,2025-12-30 11:30:00,12,3,47,0.021,89.5238,0.0,0.267,1.8799998,0.0,1.8799998,0.021,0.021
