dataset,timeseries_index,timestamp_utc,period.resolution,period.timeInterval.end,period.timeInterval.start,point.position,point.procurement_Price.amount,point.quantity,ts.businessType,ts.currency_Unit.name,ts.curveType,ts.flowDirection.direction,ts.mRID,ts.price_Measure_Unit.name,ts.quantity_Measure_Unit.name,ts.standard_MarketProduct.marketProductType,ts.type_MarketAgreement.type
procured_balancing_capacity,1,2026-02-08T06:00:00,PT15M,2026-02-08T06:15Z,2026-02-08T06:00Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T06:15:00,PT15M,2026-02-08T06:30Z,2026-02-08T06:15Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T06:30:00,PT15M,2026-02-08T06:45Z,2026-02-08T06:30Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T06:45:00,PT15M,2026-02-08T07:00Z,2026-02-08T06:45Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T07:00:00,PT15M,2026-02-08T07:15Z,2026-02-08T07:00Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T07:15:00,PT15M,2026-02-08T07:30Z,2026-02-08T07:15Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T07:30:00,PT15M,2026-02-08T07:45Z,2026-02-08T07:30Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T07:45:00,PT15M,2026-02-08T08:00Z,2026-02-08T07:45Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T08:00:00,PT15M,2026-02-08T08:15Z,2026-02-08T08:00Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T08:15:00,PT15M,2026-02-08T08:30Z,2026-02-08T08:15Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T08:30:00,PT15M,2026-02-08T08:45Z,2026-02-08T08:30Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T08:45:00,PT15M,2026-02-08T09:00Z,2026-02-08T08:45Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T09:00:00,PT15M,2026-02-08T09:15Z,2026-02-08T09:00Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T09:15:00,PT15M,2026-02-08T09:30Z,2026-02-08T09:15Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T09:30:00,PT15M,2026-02-08T09:45Z,2026-02-08T09:30Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T09:45:00,PT15M,2026-02-08T10:00Z,2026-02-08T09:45Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T10:00:00,PT15M,2026-02-08T10:15Z,2026-02-08T10:00Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T10:15:00,PT15M,2026-02-08T10:30Z,2026-02-08T10:15Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T10:30:00,PT15M,2026-02-08T10:45Z,2026-02-08T10:30Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T10:45:00,PT15M,2026-02-08T11:00Z,2026-02-08T10:45Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T11:00:00,PT15M,2026-02-08T11:15Z,2026-02-08T11:00Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T11:15:00,PT15M,2026-02-08T11:30Z,2026-02-08T11:15Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T11:30:00,PT15M,2026-02-08T11:45Z,2026-02-08T11:30Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T11:45:00,PT15M,2026-02-08T12:00Z,2026-02-08T11:45Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T12:00:00,PT15M,2026-02-08T12:15Z,2026-02-08T12:00Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T12:15:00,PT15M,2026-02-08T12:30Z,2026-02-08T12:15Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T12:30:00,PT15M,2026-02-08T12:45Z,2026-02-08T12:30Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T12:45:00,PT15M,2026-02-08T13:00Z,2026-02-08T12:45Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T13:00:00,PT15M,2026-02-08T13:15Z,2026-02-08T13:00Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
