dataset,timeseries_index,timestamp_utc,period.resolution,period.timeInterval.end,period.timeInterval.start,point.position,point.quantity,point.unavailable_Quantity.quantity,ts.businessType,ts.curveType,ts.flowDirection.direction,ts.mRID,ts.quantity_Measure_Unit.name,ts.standard_MarketProduct.marketProductType
aggregated_balancing_energy_bids,1,2025-03-01T00:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,1,100,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2025-03-01T02:30:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,11,101,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2025-03-01T03:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,13,102,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2025-03-01T03:30:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,15,103,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2025-03-01T05:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,21,108,1,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2025-03-01T07:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,29,102,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2025-03-01T07:30:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,31,101,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2025-03-01T08:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,33,100,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2025-03-01T15:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,61,101,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2025-03-01T16:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,65,107,1,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2025-03-01T20:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,81,101,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2025-03-01T21:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,85,100,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,2,2025-03-01T00:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,1,74,2,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2025-03-01T02:30:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,11,73,2,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2025-03-01T03:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,13,72,2,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2025-03-01T03:30:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,15,71,2,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2025-03-01T05:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,21,92,1,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2025-03-01T07:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,29,88,2,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2025-03-01T07:30:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,31,89,2,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2025-03-01T08:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,33,90,2,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2025-03-01T09:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,37,74,2,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2025-03-01T15:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,61,94,1,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2025-03-01T16:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,65,91,1,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2025-03-01T17:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,69,111,1,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2025-03-01T19:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,77,91,1,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2025-03-01T20:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,81,94,1,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2025-03-01T21:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,85,74,2,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2025-03-01T23:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,93,71,2,A14,A03,A01,2,MAW,A01
