dataset,timeseries_index,timestamp_utc,period.resolution,period.timeInterval.end,period.timeInterval.start,point.activation_Price.amount,point.imbalance_Price.category,point.position,ts.businessType,ts.currency_Unit.name,ts.curveType,ts.flowDirection.direction,ts.mRID,ts.mktPSRType.psrType,ts.price_Measure_Unit.name,ts.standard_MarketProduct.marketProductType
activated_balancing_prices,1,2026-02-26T00:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,80.1816,A06,1,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-02-26T00:15:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,80.7739,A06,2,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-02-26T00:30:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,80.1426,A06,3,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-02-26T00:45:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,54.6939,A06,4,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-02-26T01:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,50.3475,A06,5,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-02-26T01:15:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,50.281,A06,6,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-02-26T01:30:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,50.0955,A06,7,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-02-26T01:45:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,50.0903,A06,8,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-02-26T02:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,52.0434,A06,9,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-02-26T02:15:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,52.1954,A06,10,A96,EUR,A03,A01,1,A04,MWH,A01
