dataset,timeseries_index,timestamp_utc,period.resolution,period.timeInterval.end,period.timeInterval.start,point.activation_Price.amount,point.imbalance_Price.category,point.position,ts.businessType,ts.currency_Unit.name,ts.curveType,ts.flowDirection.direction,ts.mRID,ts.mktPSRType.psrType,ts.original_MarketProduct.marketProductType,ts.price_Measure_Unit.name
activated_balancing_prices,1,2025-03-01T00:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,0,A06,1,A96,EUR,A03,A01,1,A04,A02,MWH
activated_balancing_prices,2,2025-03-01T00:00:00,PT15M,2025-03-02T00:00Z,2025-03-01T00:00Z,0,A06,1,A96,EUR,A03,A02,2,A04,A02,MWH
