dataset,timeseries_index,timestamp_utc,period.resolution,period.timeInterval.end,period.timeInterval.start,point.position,point.quantity,point.unavailable_Quantity.quantity,ts.businessType,ts.curveType,ts.flowDirection.direction,ts.mRID,ts.quantity_Measure_Unit.name,ts.standard_MarketProduct.marketProductType
aggregated_balancing_energy_bids,1,2026-02-26T00:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,1,69,3,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-02-26T05:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,21,76,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-02-26T09:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,37,67,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-02-26T10:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,41,63,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-02-26T14:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,57,74,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-02-26T15:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,61,118,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-02-26T16:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,65,117,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-02-26T16:45:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,68,76,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-02-26T17:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,69,117,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-02-26T20:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,81,118,2,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-02-26T21:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,85,84,3,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-02-26T21:15:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,86,65,3,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-02-26T22:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,89,69,3,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,1,2026-02-26T23:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,93,54,3,A14,A03,A02,1,MAW,A01
aggregated_balancing_energy_bids,2,2026-02-26T00:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,1,108,4,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-02-26T03:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,13,107,4,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-02-26T04:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,17,106,4,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-02-26T05:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,21,104,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-02-26T08:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,33,92,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-02-26T09:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,37,94,10,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-02-26T12:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,49,95,10,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-02-26T14:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,57,95,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-02-26T15:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,61,150,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-02-26T16:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,65,151,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-02-26T16:45:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,68,133,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-02-26T17:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,69,136,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-02-26T19:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,77,154,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-02-26T20:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,81,150,3,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-02-26T21:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,85,114,4,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-02-26T21:15:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,86,108,4,A14,A03,A01,2,MAW,A01
aggregated_balancing_energy_bids,2,2026-02-26T23:00:00,PT15M,2026-02-27T00:00Z,2026-02-26T00:00Z,93,107,4,A14,A03,A01,2,MAW,A01
