dataset,timeseries_index,timestamp_utc,period.resolution,period.timeInterval.end,period.timeInterval.start,point.energy_Price.amount,point.position,point.quantity.quantity,ts.acquiring_Domain.mRID,ts.auction.mRID,ts.businessType,ts.connecting_Domain.mRID,ts.currency_Unit.name,ts.divisible,ts.flowDirection.direction,ts.mRID,ts.price_Measure_Unit.name,ts.quantity_Measure_Unit.name,ts.standard_MarketProduct.marketProductType,ts.status.value,ts.validity_Period.timeInterval.end,ts.validity_Period.timeInterval.start
balancing_energy_bids,1,2026-05-23T00:00:00,PT15M,2026-05-23T00:15Z,2026-05-23T00:00Z,190.49,1,1,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260523009-AFRR_P-UNIT_068-1,MWH,MAW,A01,A11,2026-05-23T00:15Z,2026-05-23T00:00Z
balancing_energy_bids,2,2026-05-23T00:00:00,PT15M,2026-05-23T00:15Z,2026-05-23T00:00Z,-144,1,5,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A02,20260523009-AFRR_N-UNIT_051-1,MWH,MAW,A01,A06,2026-05-23T00:15Z,2026-05-23T00:00Z
balancing_energy_bids,3,2026-05-23T00:00:00,PT15M,2026-05-23T00:15Z,2026-05-23T00:00Z,190.07,1,12,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260523009-AFRR_P-UNIT_065-1,MWH,MAW,A01,A06,2026-05-23T00:15Z,2026-05-23T00:00Z
balancing_energy_bids,4,2026-05-23T00:00:00,PT15M,2026-05-23T00:15Z,2026-05-23T00:00Z,140,1,31,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260523009-AFRR_P-UNIT_052-1,MWH,MAW,A01,A06,2026-05-23T00:15Z,2026-05-23T00:00Z
balancing_energy_bids,5,2026-05-23T00:00:00,PT15M,2026-05-23T00:15Z,2026-05-23T00:00Z,500,1,10,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260523009-AFRR_P-UNIT_047-1,MWH,MAW,A01,A06,2026-05-23T00:15Z,2026-05-23T00:00Z
balancing_energy_bids,6,2026-05-23T00:00:00,PT15M,2026-05-23T00:15Z,2026-05-23T00:00Z,350,1,5,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260523009-AFRR_P-UNIT_051-1,MWH,MAW,A01,A06,2026-05-23T00:15Z,2026-05-23T00:00Z
balancing_energy_bids,7,2026-05-23T00:00:00,PT15M,2026-05-23T00:15Z,2026-05-23T00:00Z,135,1,15,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260523009-AFRR_P-UNIT_069-1,MWH,MAW,A01,A06,2026-05-23T00:15Z,2026-05-23T00:00Z
balancing_energy_bids,8,2026-05-23T00:00:00,PT15M,2026-05-23T00:15Z,2026-05-23T00:00Z,190.49,1,5,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260523009-AFRR_P-UNIT_028-1,MWH,MAW,A01,A06,2026-05-23T00:15Z,2026-05-23T00:00Z
balancing_energy_bids,9,2026-05-23T00:00:00,PT15M,2026-05-23T00:15Z,2026-05-23T00:00Z,200,1,1,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260523009-AFRR_P-UNIT_058-1,MWH,MAW,A01,A11,2026-05-23T00:15Z,2026-05-23T00:00Z
balancing_energy_bids,10,2026-05-23T00:00:00,PT15M,2026-05-23T00:15Z,2026-05-23T00:00Z,190.07,1,10,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260523009-AFRR_P-UNIT_008-1,MWH,MAW,A01,A06,2026-05-23T00:15Z,2026-05-23T00:00Z
balancing_energy_bids,11,2026-05-23T00:00:00,PT15M,2026-05-23T00:15Z,2026-05-23T00:00Z,143,1,8,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260523009-AFRR_P-UNIT_062-1,MWH,MAW,A01,A06,2026-05-23T00:15Z,2026-05-23T00:00Z
balancing_energy_bids,12,2026-05-23T00:00:00,PT15M,2026-05-23T00:15Z,2026-05-23T00:00Z,143,1,2,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260523009-AFRR_P-UNIT_043-1,MWH,MAW,A01,A06,2026-05-23T00:15Z,2026-05-23T00:00Z
balancing_energy_bids,13,2026-05-23T00:00:00,PT15M,2026-05-23T00:15Z,2026-05-23T00:00Z,110,1,9,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260523009-AFRR_P-UNIT_063-1,MWH,MAW,A01,A06,2026-05-23T00:15Z,2026-05-23T00:00Z
balancing_energy_bids,14,2026-05-23T00:00:00,PT15M,2026-05-23T00:15Z,2026-05-23T00:00Z,750,1,11,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260523009-AFRR_P-UNIT_104-1,MWH,MAW,A01,A06,2026-05-23T00:15Z,2026-05-23T00:00Z
balancing_energy_bids,15,2026-05-23T00:00:00,PT15M,2026-05-23T00:15Z,2026-05-23T00:00Z,190.07,1,3,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260523009-AFRR_P-UNIT_009-1,MWH,MAW,A01,A06,2026-05-23T00:15Z,2026-05-23T00:00Z
balancing_energy_bids,16,2026-05-23T00:00:00,PT15M,2026-05-23T00:15Z,2026-05-23T00:00Z,300,1,1,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260523009-AFRR_P-UNIT_106-1,MWH,MAW,A01,A11,2026-05-23T00:15Z,2026-05-23T00:00Z
balancing_energy_bids,17,2026-05-23T00:00:00,PT15M,2026-05-23T00:15Z,2026-05-23T00:00Z,189,1,7,10Y1001C--00090V,AUCTION-aFRR,B74,10YSK-SEPS-----K,EUR,A01,A01,20260523009-AFRR_P-UNIT_123-1,MWH,MAW,A01,A06,2026-05-23T00:15Z,2026-05-23T00:00Z
