dataset,timeseries_index,timestamp_utc,period.resolution,period.timeInterval.end,period.timeInterval.start,point.activation_Price.amount,point.imbalance_Price.category,point.position,ts.businessType,ts.currency_Unit.name,ts.curveType,ts.flowDirection.direction,ts.mRID,ts.mktPSRType.psrType,ts.price_Measure_Unit.name,ts.standard_MarketProduct.marketProductType
activated_balancing_prices,1,2026-05-23T07:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,4.4908,A06,30,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T07:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,0,A06,31,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T07:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,5.5667,A06,32,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T08:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,90.8777,A06,33,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T08:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,4.825,A06,34,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T08:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,13.9234,A06,35,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T08:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,0,A06,36,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T09:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,120.3852,A06,37,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T09:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,103.3963,A06,38,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T09:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,21.0094,A06,39,A96,EUR,A03,A01,1,A04,MWH,A01
