DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,AFRR_AVERAGE_CAPACITY_PRICE_EUR_PER_MW_PER_H,AFRR_PROCURED_CAPACITY_MW,COUNTRY,NOTE
2025-05-25,2025-05-25,aFRR,NEG_00_04,12.164393939393932,528.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-05-25,2025-05-25,aFRR,NEG_04_08,12.158776978417253,556.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-05-25,2025-05-25,aFRR,NEG_08_12,12.160470588235295,340.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-05-25,2025-05-25,aFRR,NEG_12_16,12.191235955056188,356.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-05-25,2025-05-25,aFRR,NEG_16_20,12.159677419354844,372.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-05-25,2025-05-25,aFRR,NEG_20_24,12.166164383561632,584.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-05-25,2025-05-25,aFRR,POS_00_04,43.087960199005025,804.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-05-25,2025-05-25,aFRR,POS_04_08,43.44644578313255,664.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-05-25,2025-05-25,aFRR,POS_08_12,43.443793103448314,348.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-05-25,2025-05-25,aFRR,POS_12_16,43.223500000000044,240.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-05-25,2025-05-25,aFRR,POS_16_20,43.59879999999999,600.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-05-25,2025-05-25,aFRR,POS_20_24,43.07198863636366,704.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
