DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,AFRR_AVERAGE_CAPACITY_PRICE_EUR_PER_MW_PER_H,AFRR_PROCURED_CAPACITY_MW,COUNTRY,NOTE
2025-06-03,2025-06-03,aFRR,NEG_00_04,11.80069892473119,744.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-06-03,2025-06-03,aFRR,NEG_04_08,11.964741784037559,852.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-06-03,2025-06-03,aFRR,NEG_08_12,12.10122448979591,784.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-06-03,2025-06-03,aFRR,NEG_12_16,12.106326530612236,784.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-06-03,2025-06-03,aFRR,NEG_16_20,12.107882882882869,888.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-06-03,2025-06-03,aFRR,NEG_20_24,11.923408071748868,892.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-06-03,2025-06-03,aFRR,POS_00_04,34.43777777777774,684.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-06-03,2025-06-03,aFRR,POS_04_08,39.38494845360826,776.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-06-03,2025-06-03,aFRR,POS_08_12,42.93445945945948,592.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-06-03,2025-06-03,aFRR,POS_12_16,42.74741935483871,496.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-06-03,2025-06-03,aFRR,POS_16_20,41.07369158878507,856.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-06-03,2025-06-03,aFRR,POS_20_24,35.81610619469027,904.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
