DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,AFRR_AVERAGE_CAPACITY_PRICE_EUR_PER_MW_PER_H,AFRR_PROCURED_CAPACITY_MW,COUNTRY,NOTE
2026-01-17,2026-01-17,aFRR,NEG_00_04,5.1512408759124115,548.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-17,2026-01-17,aFRR,NEG_04_08,6.963064516129029,868.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-17,2026-01-17,aFRR,NEG_08_12,7.531176470588227,952.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-17,2026-01-17,aFRR,NEG_12_16,7.409671052631571,912.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-17,2026-01-17,aFRR,NEG_16_20,7.691151003167898,947.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-17,2026-01-17,aFRR,NEG_20_24,6.7509392265193275,724.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-17,2026-01-17,aFRR,POS_00_04,27.7654464285714,448.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-17,2026-01-17,aFRR,POS_04_08,31.720374331550822,748.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-17,2026-01-17,aFRR,POS_08_12,33.20000000000001,656.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-17,2026-01-17,aFRR,POS_12_16,33.475757575757584,792.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-17,2026-01-17,aFRR,POS_16_20,34.509460834181084,983.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-17,2026-01-17,aFRR,POS_20_24,32.52171945701355,884.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
