DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,AFRR_AVERAGE_CAPACITY_PRICE_EUR_PER_MW_PER_H,AFRR_PROCURED_CAPACITY_MW,COUNTRY,NOTE
2025-12-07,2025-12-07,aFRR,NEG_00_04,11.472175480769216,832.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-07,2025-12-07,aFRR,NEG_04_08,11.794299065420565,856.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-07,2025-12-07,aFRR,NEG_08_12,12.123888888888905,864.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-07,2025-12-07,aFRR,NEG_12_16,12.123035714285734,896.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-07,2025-12-07,aFRR,NEG_16_20,12.119193548387111,992.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-07,2025-12-07,aFRR,NEG_20_24,11.796605504587168,872.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-07,2025-12-07,aFRR,POS_00_04,42.91,432.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-07,2025-12-07,aFRR,POS_04_08,43.12280000000001,400.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-07,2025-12-07,aFRR,POS_08_12,43.34666666666666,384.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-07,2025-12-07,aFRR,POS_12_16,43.36807692307695,416.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-07,2025-12-07,aFRR,POS_16_20,43.611400000000046,800.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-07,2025-12-07,aFRR,POS_20_24,43.20399999999999,480.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
