DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,AFRR_AVERAGE_CAPACITY_PRICE_EUR_PER_MW_PER_H,AFRR_PROCURED_CAPACITY_MW,COUNTRY,NOTE
2025-10-17,2025-10-17,aFRR,NEG_00_04,11.197777777777791,576.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-10-17,2025-10-17,aFRR,NEG_04_08,11.711617647058828,544.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-10-17,2025-10-17,aFRR,NEG_08_12,12.018345864661665,532.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-10-17,2025-10-17,aFRR,NEG_12_16,12.098699808795413,523.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-10-17,2025-10-17,aFRR,NEG_16_20,11.489648148148158,540.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-10-17,2025-10-17,aFRR,NEG_20_24,10.952274193548389,620.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-10-17,2025-10-17,aFRR,POS_00_04,37.62117647058826,68.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-10-17,2025-10-17,aFRR,POS_04_08,40.04500000000002,32.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-10-17,2025-10-17,aFRR,POS_08_12,42.07200000000002,20.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-10-17,2025-10-17,aFRR,POS_12_16,42.69000000000001,16.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-10-17,2025-10-17,aFRR,POS_16_20,41.120000000000026,32.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-10-17,2025-10-17,aFRR,POS_20_24,35.88900000000001,60.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
