DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,AFRR_AVERAGE_CAPACITY_PRICE_EUR_PER_MW_PER_H,AFRR_PROCURED_CAPACITY_MW,COUNTRY,NOTE
2026-01-24,2026-01-24,aFRR,NEG_00_04,6.6617751479289895,676.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-24,2026-01-24,aFRR,NEG_04_08,7.194770833333338,960.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-24,2026-01-24,aFRR,NEG_08_12,7.524133333333347,1200.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-24,2026-01-24,aFRR,NEG_12_16,7.531700000000013,1200.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-24,2026-01-24,aFRR,NEG_16_20,7.5511500000000025,1200.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-24,2026-01-24,aFRR,NEG_20_24,7.00068085106382,940.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-24,2026-01-24,aFRR,POS_00_04,27.568468468468463,444.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-24,2026-01-24,aFRR,POS_04_08,29.908235294117645,680.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-24,2026-01-24,aFRR,POS_08_12,30.946500000000004,960.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-24,2026-01-24,aFRR,POS_12_16,31.21,960.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-24,2026-01-24,aFRR,POS_16_20,33.54345403899721,1436.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2026-01-24,2026-01-24,aFRR,POS_20_24,29.67773255813953,688.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
