DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,AFRR_AVERAGE_CAPACITY_PRICE_EUR_PER_MW_PER_H,AFRR_PROCURED_CAPACITY_MW,COUNTRY,NOTE
2025-07-14,2025-07-14,aFRR,NEG_00_04,9.546086956521737,736.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-07-14,2025-07-14,aFRR,NEG_04_08,10.824926650366743,818.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-07-14,2025-07-14,aFRR,NEG_08_12,12.004318181818173,352.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-07-14,2025-07-14,aFRR,NEG_12_16,12.031199999999977,400.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-07-14,2025-07-14,aFRR,NEG_16_20,11.494570737605802,827.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-07-14,2025-07-14,aFRR,NEG_20_24,10.932515337423322,1304.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-07-14,2025-07-14,aFRR,POS_00_04,43.2289655172413,232.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-07-14,2025-07-14,aFRR,POS_04_08,42.942492668621696,341.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-07-14,2025-07-14,aFRR,POS_08_12,43.477904761904746,420.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-07-14,2025-07-14,aFRR,POS_12_16,43.49549999999995,320.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-07-14,2025-07-14,aFRR,POS_16_20,41.81468899521538,627.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-07-14,2025-07-14,aFRR,POS_20_24,41.28817647058829,680.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
