DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,AFRR_AVERAGE_CAPACITY_PRICE_EUR_PER_MW_PER_H,AFRR_PROCURED_CAPACITY_MW,COUNTRY,NOTE
2025-12-14,2025-12-14,aFRR,NEG_00_04,9.745357142857147,896.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-14,2025-12-14,aFRR,NEG_04_08,10.3093280632411,1012.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-14,2025-12-14,aFRR,NEG_08_12,11.032153846153841,1040.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-14,2025-12-14,aFRR,NEG_12_16,11.04292307692307,1040.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-14,2025-12-14,aFRR,NEG_16_20,11.010615384615386,1040.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-14,2025-12-14,aFRR,NEG_20_24,11.000438775510188,980.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-14,2025-12-14,aFRR,POS_00_04,37.35175000000004,640.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-14,2025-12-14,aFRR,POS_04_08,38.013911042944784,652.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-14,2025-12-14,aFRR,POS_08_12,39.64752941176471,680.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-14,2025-12-14,aFRR,POS_12_16,40.15994517543856,912.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-14,2025-12-14,aFRR,POS_16_20,41.183195422535164,1136.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
2025-12-14,2025-12-14,aFRR,POS_20_24,40.747785388127895,876.0,SK,ENTSO-E Procured Balancing Capacity GL EB 12.3.F
