deliveryDay,period,deliveryStart,deliveryEnd,price,priceWeightedAverage,priceAverage,lastPrice,minimalPrice,maximalPrice,successfulVolume,purchaseSuccessfulVolume,saleSuccessfulVolume
2025-03-01,1,2025-02-28T23:00:00Z,2025-02-28T23:15:00Z,167.78,167.78,161.82,124.57,109.99,197.0,35.8,35.4,0.4
2025-03-01,2,2025-02-28T23:15:00Z,2025-02-28T23:30:00Z,136.57,136.57,132.61,131.02,124.7,198.0,9.8,3.8,6.0
2025-03-01,3,2025-02-28T23:30:00Z,2025-02-28T23:45:00Z,115.26,115.26,116.19,123.45,112.7,123.45,15.3,0.0,15.3
2025-03-01,4,2025-02-28T23:45:00Z,2025-03-01T00:00:00Z,96.29,96.29,96.22,105.06,85.99,105.06,48.1,0.0,48.1
2025-03-01,5,2025-03-01T00:00:00Z,2025-03-01T00:15:00Z,139.85,139.85,130.48,138.1,125.09,145.0,17.0,16.3,0.7
2025-03-01,6,2025-03-01T00:15:00Z,2025-03-01T00:30:00Z,120.8,120.8,120.24,129.68,117.56,129.68,9.1,2.5,6.6
2025-03-01,7,2025-03-01T00:30:00Z,2025-03-01T00:45:00Z,96.24,96.24,107.7,114.48,84.0,114.66,30.4,0.0,30.4
2025-03-01,8,2025-03-01T00:45:00Z,2025-03-01T01:00:00Z,100.17,100.17,103.06,103.65,87.49,109.0,35.0,0.1,34.9
2025-03-01,9,2025-03-01T01:00:00Z,2025-03-01T01:15:00Z,139.05,139.05,132.82,134.8,123.0,152.98,22.4,21.4,1.0
2025-03-01,10,2025-03-01T01:15:00Z,2025-03-01T01:30:00Z,115.09,115.09,116.15,118.85,113.48,122.27,6.4,0.1,6.3
2025-03-01,11,2025-03-01T01:30:00Z,2025-03-01T01:45:00Z,110.36,110.36,110.55,112.41,105.0,112.95,8.0,0.1,7.9
2025-03-01,12,2025-03-01T01:45:00Z,2025-03-01T02:00:00Z,106.43,106.43,106.41,107.8,102.73,109.51,26.6,0.1,26.5
2025-03-01,13,2025-03-01T02:00:00Z,2025-03-01T02:15:00Z,116.21,116.21,116.58,120.53,101.0,122.83,7.0,0.3,6.7
2025-03-01,14,2025-03-01T02:15:00Z,2025-03-01T02:30:00Z,100.72,100.72,106.49,112.73,96.0,113.87,24.9,0.3,24.6
2025-03-01,15,2025-03-01T02:30:00Z,2025-03-01T02:45:00Z,107.53,107.53,108.31,105.95,105.8,120.58,10.2,4.0,6.2
2025-03-01,16,2025-03-01T02:45:00Z,2025-03-01T03:00:00Z,105.35,105.35,105.69,105.19,103.56,112.99,11.7,5.5,6.2
2025-03-01,17,2025-03-01T03:00:00Z,2025-03-01T03:15:00Z,93.23,93.23,103.84,105.2,75.0,112.41,16.4,0.3,16.1
2025-03-01,18,2025-03-01T03:15:00Z,2025-03-01T03:30:00Z,103.15,103.15,104.49,110.67,99.0,113.57,10.2,0.2,10.0
2025-03-01,19,2025-03-01T03:30:00Z,2025-03-01T03:45:00Z,122.86,122.86,121.15,112.6,112.6,138.0,2.7,1.4,1.3
2025-03-01,20,2025-03-01T03:45:00Z,2025-03-01T04:00:00Z,135.09,135.09,119.08,113.93,112.4,154.0,11.5,10.3,1.2
2025-03-01,21,2025-03-01T04:00:00Z,2025-03-01T04:15:00Z,98.07,98.07,103.17,105.14,76.0,111.32,33.5,0.0,33.5
2025-03-01,22,2025-03-01T04:15:00Z,2025-03-01T04:30:00Z,108.37,108.37,109.71,107.03,104.0,112.42,12.0,1.7,10.3
2025-03-01,23,2025-03-01T04:30:00Z,2025-03-01T04:45:00Z,138.38,138.38,122.45,117.19,113.13,147.0,8.4,6.8,1.6
2025-03-01,24,2025-03-01T04:45:00Z,2025-03-01T05:00:00Z,127.6,127.6,129.96,126.51,121.0,150.0,9.8,8.1,1.7
2025-03-01,25,2025-03-01T05:00:00Z,2025-03-01T05:15:00Z,90.98,90.98,101.4,102.3,73.0,106.15,54.5,0.0,54.5
2025-03-01,26,2025-03-01T05:15:00Z,2025-03-01T05:30:00Z,103.99,103.99,108.06,111.01,97.0,115.87,82.0,18.0,64.0
2025-03-01,27,2025-03-01T05:30:00Z,2025-03-01T05:45:00Z,141.8,141.8,136.65,129.19,124.52,159.0,28.2,10.8,17.4
2025-03-01,28,2025-03-01T05:45:00Z,2025-03-01T06:00:00Z,147.61,147.61,146.54,138.13,136.12,151.0,33.9,17.1,16.8
2025-03-01,29,2025-03-01T06:00:00Z,2025-03-01T06:15:00Z,123.49,123.49,122.82,119.3,118.1,128.01,58.0,0.0,58.0
2025-03-01,30,2025-03-01T06:15:00Z,2025-03-01T06:30:00Z,126.83,126.83,133.15,133.4,123.0,143.0,18.2,6.0,12.2
2025-03-01,31,2025-03-01T06:30:00Z,2025-03-01T06:45:00Z,141.38,141.38,140.79,140.6,138.3,144.83,30.0,6.7,23.3
