deliveryDay,period,deliveryStart,deliveryEnd,price,priceWeightedAverage,priceAverage,lastPrice,minimalPrice,maximalPrice,successfulVolume,purchaseSuccessfulVolume,saleSuccessfulVolume
2026-03-01,1,2026-02-28T23:00:00Z,2026-02-28T23:15:00Z,50.45,50.45,54.95,52.32,47.08,72.97,21.7,6.4,15.3
2026-03-01,2,2026-02-28T23:15:00Z,2026-02-28T23:30:00Z,59.81,59.81,54.39,60.82,49.82,60.82,3.8,0.4,3.4
2026-03-01,3,2026-02-28T23:30:00Z,2026-02-28T23:45:00Z,54.26,54.26,52.14,57.41,41.56,57.44,0.5,0.4,0.1
2026-03-01,4,2026-02-28T23:45:00Z,2026-03-01T00:00:00Z,47.37,47.37,48.42,47.13,41.4,50.9,31.7,0.4,31.3
2026-03-01,5,2026-03-01T00:00:00Z,2026-03-01T00:15:00Z,59.44,59.44,60.01,52.0,51.97,76.07,15.1,12.1,3.0
2026-03-01,6,2026-03-01T00:15:00Z,2026-03-01T00:30:00Z,59.48,59.48,58.83,56.89,51.3,73.84,7.3,4.3,3.0
2026-03-01,7,2026-03-01T00:30:00Z,2026-03-01T00:45:00Z,52.86,52.86,52.92,52.71,47.12,61.93,21.5,8.8,12.7
2026-03-01,8,2026-03-01T00:45:00Z,2026-03-01T01:00:00Z,48.07,48.07,46.74,31.61,31.59,68.74,16.1,6.9,9.2
2026-03-01,9,2026-03-01T01:00:00Z,2026-03-01T01:15:00Z,59.03,59.03,58.02,50.23,50.23,64.83,3.7,1.6,2.1
2026-03-01,10,2026-03-01T01:15:00Z,2026-03-01T01:30:00Z,43.44,43.44,46.61,36.23,36.23,51.26,7.8,3.9,3.9
2026-03-01,11,2026-03-01T01:30:00Z,2026-03-01T01:45:00Z,43.78,43.78,45.05,35.01,35.01,59.1,13.7,6.3,7.4
2026-03-01,12,2026-03-01T01:45:00Z,2026-03-01T02:00:00Z,44.63,44.63,48.02,37.99,36.82,61.04,12.3,4.5,7.8
2026-03-01,13,2026-03-01T02:00:00Z,2026-03-01T02:15:00Z,46.33,46.33,48.77,39.88,35.6,65.91,10.0,5.8,4.2
2026-03-01,14,2026-03-01T02:15:00Z,2026-03-01T02:30:00Z,46.4,46.4,49.69,44.1,36.49,70.61,11.3,5.4,5.9
2026-03-01,15,2026-03-01T02:30:00Z,2026-03-01T02:45:00Z,48.58,48.58,51.16,44.99,42.84,84.15,28.4,14.8,13.6
2026-03-01,16,2026-03-01T02:45:00Z,2026-03-01T03:00:00Z,53.87,53.87,58.55,47.76,47.76,87.91,11.9,6.4,5.5
2026-03-01,17,2026-03-01T03:00:00Z,2026-03-01T03:15:00Z,14.49,14.49,43.83,1.0,1.0,61.0,53.1,26.6,26.5
2026-03-01,18,2026-03-01T03:15:00Z,2026-03-01T03:30:00Z,52.8,52.8,54.41,50.08,48.0,64.27,28.7,4.8,23.9
2026-03-01,19,2026-03-01T03:30:00Z,2026-03-01T03:45:00Z,53.86,53.86,58.16,52.46,50.97,85.77,42.7,4.7,38.0
2026-03-01,20,2026-03-01T03:45:00Z,2026-03-01T04:00:00Z,54.19,54.19,57.82,52.72,51.08,89.16,22.8,3.2,19.6
2026-03-01,21,2026-03-01T04:00:00Z,2026-03-01T04:15:00Z,58.84,58.84,58.07,56.7,52.22,61.18,12.5,6.5,6.0
